"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"339",668804,"Reynolds, Bryan","2493","13.6","0.376","0.257","0.345","0.633","0.419","0.412","0.358","126","335","88.8","13.0","2113","85.8","85.42","0","339","0","-0.4","6.27","112","153","120","148","297","320","295"
"338",571448,"Arenado, Nolan","2443","13.8","0.330","0.327","0.270","0.658","0.410","0.352","0.305","111","336","89.0","20.3","2274","86.2","85.33","0","338","0","-0.9","6.30","107","152","121","147","308","327","300"
"337",493329,"Gurriel, Yuli","2292","14.7","0.367","0.183","0.334","0.550","0.379","0.337","0.320","120","327","89.3","14.8","2161","86.9","86.98","0","337","0","0.1","6.34","109","151","121","147","301","327","293"
"330",657077,"Verdugo, Alex","2346","14.1","0.328","0.178","0.303","0.506","0.350","0.397","0.358","107","326","89.6","7.3","2096","86.0","85.92","0","330","0","-0.1","6.22","114","153","123","150","284","321","306"
"329",621028,"Newman, Kevin","1926","17.1","0.270","0.102","0.259","0.373","0.273","0.291","0.292","87","322","83.3","10.3","2211","86.8","86.84","0","329","0","0.0","6.23","106","150","110","146","300","312","279"
"329",518692,"Freeman, Freddie","2688","12.2","0.360","0.244","0.317","0.604","0.406","0.461","0.390","118","328","91.3","12.6","2130","86.5","86.72","0","329","0","0.2","6.33","117","162","135","151","301","327","306"
"327",467793,"Santana, Carlos","2706","12.1","0.259","0.133","0.231","0.392","0.275","0.337","0.298","84","324","89.2","12.0","2092","86.6","85.72","0","327","0","-0.9","6.15","112","162","129","149","302","328","304"
"324",646240,"Devers, Rafael","2501","13.0","0.363","0.331","0.302","0.694","0.437","0.454","0.369","116","320","91.7","12.3","2160","85.3","85.23","0","324","0","-0.1","6.26","114","157","124","150","288","324","307"
"324",572122,"Seager, Kyle","2553","12.7","0.283","0.304","0.218","0.587","0.360","0.364","0.294","91","322","87.6","18.3","2152","86.3","86.29","0","324","0","0.0","6.22","114","165","125","151","294","324","300"
"323",600869,"Candelario, Jeimer","2547","12.7","0.362","0.241","0.333","0.604","0.407","0.413","0.362","117","323","88.7","12.1","2048","86.3","86.31","0","323","0","0.0","6.27","111","158","121","149","295","325","295"
"323",621566,"Olson, Matt","2774","11.6","0.362","0.362","0.287","0.724","0.442","0.424","0.340","114","315","91.1","15.8","2143","86.1","85.84","0","323","0","-0.3","6.25","118","170","131","151","300","327","301"
"321",543760,"Semien, Marcus","2923","11.0","0.349","0.340","0.293","0.689","0.429","0.363","0.307","111","318","88.9","19.4","2178","86.2","85.95","0","321","0","-0.3","6.26","106","154","119","146","301","326","292"
"318",516416,"Segura, Jean","2182","14.6","0.375","0.200","0.349","0.575","0.399","0.361","0.329","118","315","87.1","6.1","2183","86.2","86.19","0","318","0","0.0","6.26","108","152","112","148","300","319","283"
"318",621043,"Correa, Carlos","2610","12.2","0.362","0.270","0.315","0.632","0.415","0.422","0.377","114","315","89.3","12.6","2167","86.0","85.68","0","318","0","-0.3","6.27","108","153","121","147","302","327","292"
"317",642708,"Rosario, Amed","2152","14.7","0.364","0.179","0.341","0.543","0.381","0.370","0.355","114","313","88.6","8.8","2205","86.0","86.20","0","317","0","0.2","6.23","106","151","114","146","299","318","287"
"317",521692,"Perez, Salvador","2392","13.3","0.381","0.384","0.301","0.765","0.476","0.495","0.388","120","315","92.0","16.3","2186","85.9","85.88","0","317","0","0.0","6.18","104","151","122","145","306","329","302"
"316",665489,"Guerrero Jr., Vladimir","2509","12.6","0.350","0.338","0.280","0.688","0.431","0.424","0.351","110","314","93.8","10.5","2221","85.9","85.91","0","316","0","0.0","6.25","108","153","122","148","306","329","295"
"313",664702,"Straw, Myles","2652","11.8","0.350","0.103","0.342","0.453","0.343","0.326","0.329","109","311","85.3","12.2","2170","86.7","86.48","0","313","0","-0.2","6.31","105","149","109","145","298","317","281"
"313",462101,"Andrus, Elvis","2053","15.2","0.290","0.085","0.284","0.375","0.282","0.331","0.325","89","307","85.7","7.9","2226","85.9","85.70","0","313","0","-0.2","6.28","107","152","115","147","303","319","286"
"311",457759,"Turner, Justin","2465","12.6","0.339","0.228","0.296","0.567","0.378","0.372","0.331","104","307","90.1","19.2","2239","86.3","85.77","0","311","0","-0.5","6.20","107","152","121","146","304","324","296"
"311",608070,"Ramírez, José","2672","11.6","0.316","0.280","0.265","0.596","0.377","0.378","0.326","97","307","88.8","16.7","2118","86.2","86.00","0","311","0","-0.2","6.20","110","159","123","147","296","323","296"
"311",571745,"Haniger, Mitch","2775","11.2","0.368","0.349","0.294","0.717","0.444","0.448","0.365","112","304","88.2","13.5","2192","86.6","86.38","0","311","0","-0.2","6.29","107","152","121","145","300","323","292"
"310",502671,"Goldschmidt, Paul","2751","11.3","0.378","0.248","0.340","0.625","0.420","0.452","0.377","116","307","92.4","14.1","2245","86.5","85.77","0","310","0","-0.7","6.28","108","152","120","147","309","326","299"
"309",592206,"Castellanos, Nick","2143","14.4","0.386","0.347","0.324","0.733","0.459","0.437","0.369","117","303","88.9","15.0","2187","85.8","85.72","0","309","0","-0.1","6.30","105","151","120","144","302","325","296"
"306",630105,"Cronenworth, Jake","2435","12.6","0.326","0.253","0.293","0.579","0.379","0.381","0.337","99","304","87.4","14.6","2132","87.6","87.52","0","306","0","-0.1","6.26","115","151","118","150","288","322","305"
"306",593871,"Polanco, Jorge","2489","12.3","0.331","0.255","0.287","0.586","0.381","0.386","0.334","100","302","87.4","17.8","2167","86.2","86.24","0","306","0","0.0","6.23","109","152","116","147","296","322","295"
"305",606132,"Tapia, Raimel","1973","15.5","0.309","0.126","0.292","0.435","0.315","0.297","0.296","93","301","85.1","-3.6","2199","86.5","85.87","0","305","0","-0.6","6.20","115","150","108","150","293","327","309"
"304",670541,"Alvarez, Yordan","2397","12.7","0.401","0.358","0.342","0.758","0.482","0.495","0.389","121","302","93.2","14.1","2130","85.6","85.37","0","304","0","-0.2","6.29","117","165","133","153","294","330","304"
"304",592518,"Machado, Manny","2238","13.6","0.346","0.295","0.285","0.641","0.406","0.417","0.344","103","298","90.7","14.0","2218","86.3","85.68","0","304","0","-0.6","6.26","108","153","122","147","304","327","297"
"303",514917,"Hernández, César","2440","12.4","0.338","0.245","0.295","0.583","0.387","0.375","0.336","102","302","86.4","10.1","2074","86.0","86.00","0","303","0","0.0","6.19","109","150","105","148","291","320","294"
"302",641313,"Anderson, Tim","1997","15.1","0.377","0.199","0.349","0.576","0.406","0.408","0.367","114","302","89.3","6.0","2198","86.3","86.31","0","302","0","0.0","6.24","108","152","117","147","302","323","289"
"302",500871,"Escobar, Eduardo","2404","12.6","0.312","0.213","0.280","0.525","0.352","0.335","0.299","94","301","85.1","20.1","2102","86.2","84.51","0","302","0","-1.7","6.26","113","156","124","148","299","322","299"
"301",488726,"Brantley, Michael","1868","16.1","0.343","0.100","0.338","0.443","0.337","0.358","0.343","103","300","88.2","8.8","2096","86.2","86.25","0","301","0","0.1","6.33","116","156","125","151","288","325","301"
"301",547989,"Abreu, José","2588","11.6","0.340","0.310","0.277","0.650","0.404","0.405","0.335","100","294","91.5","14.0","2222","86.6","86.65","0","301","0","0.0","6.26","105","151","121","146","302","327","296"
"300",453568,"Blackmon, Charlie","2144","14.0","0.314","0.184","0.290","0.498","0.343","0.390","0.353","94","299","87.8","8.4","2145","86.2","86.17","0","300","0","0.0","6.21","114","158","128","150","300","330","308"
"299",641857,"McMahon, Ryan","2387","12.5","0.336","0.292","0.281","0.627","0.398","0.390","0.333","99","295","89.2","14.3","2167","86.0","85.28","0","299","0","-0.7","6.21","114","155","126","149","300","332","310"
"299",500743,"Rojas, Miguel","2001","14.9","0.321","0.154","0.310","0.475","0.338","0.316","0.308","96","299","85.7","11.2","2217","86.5","86.44","0","299","0","-0.1","6.29","108","152","115","148","304","318","284"
"298",543281,"Harrison, Josh","1877","15.9","0.315","0.142","0.298","0.458","0.326","0.334","0.314","93","295","85.9","15.7","2246","85.7","85.74","0","298","0","0.0","6.27","106","152","113","146","301","318","287"
"296",663656,"Tucker, Kyle","2180","13.6","0.355","0.307","0.304","0.662","0.422","0.450","0.375","104","293","90.6","17.1","2149","85.4","85.33","0","296","0","-0.1","6.29","116","159","128","152","293","328","302"
"295",502110,"Martinez, J.D.","2410","12.2","0.394","0.366","0.338","0.760","0.477","0.451","0.372","115","292","91.4","17.8","2181","85.7","85.46","0","295","0","-0.2","6.26","107","152","121","146","296","326","300"
"294",578428,"Iglesias, José","1858","15.8","0.333","0.160","0.315","0.493","0.352","0.328","0.321","98","294","86.0","12.8","2240","86.0","86.05","0","294","0","0.1","6.28","107","152","116","148","301","318","287"
"294",545341,"Grichuk, Randal","2003","14.7","0.293","0.279","0.237","0.572","0.357","0.347","0.284","85","290","89.4","19.3","2233","86.0","86.07","0","294","0","0.1","6.24","106","151","119","145","299","324","292"
"293",593428,"Bogaerts, Xander","2505","11.7","0.380","0.244","0.338","0.624","0.416","0.395","0.349","109","287","88.1","11.2","2207","86.1","86.13","0","293","0","0.0","6.24","107","151","120","146","294","324","296"
"292",663993,"Lowe, Nathaniel","2691","10.9","0.381","0.249","0.338","0.630","0.422","0.404","0.344","110","289","90.6","5.6","2117","86.7","86.56","0","292","0","-0.1","6.20","115","158","126","152","296","327","305"
"292",624413,"Alonso, Pete","2298","12.7","0.310","0.366","0.232","0.676","0.406","0.432","0.333","90","290","91.1","16.4","2185","85.5","85.22","0","292","0","-0.3","6.30","105","152","121","146","306","329","300"
"290",665120,"Walsh, Jared","2250","12.9","0.348","0.331","0.288","0.679","0.425","0.400","0.349","100","287","88.7","8.2","2168","86.1","85.37","0","290","0","-0.7","6.24","116","162","126","151","296","325","304"
